"AGE","RACE_WHITE","RACE_BLACK","RACE_HISP","NTV_ENG","NTV_SP","WELFKID_1","WELFKID_2","WELFKID_3","WELFKID_4","MARRIED_1","HASCHLD","HGC","HS_D","GED_D","VOC_D","OTH_DEG","ANY_ED1","YR_WORK1","CURRJOB","GOT_ANYW","PERS_INC","EVARRST1","GUILTY2","EVJAIL2","WELF_KID","cate","Y","treat","train"
20.1342465753425,0,0,0,1,0,0,1,0,0,1,0,11,0,1,0,0,1,1,1,0,1,0,0,0,2,8.59534112428375,359.790752574529,0,1
17.1150684931507,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,1,0,0,1,1,0,0,0,2,17.8422809183579,188.14437023171,0,1
16.5506849315069,0,1,0,1,0,0,0,0,1,1,1,8,0,0,0,0,1,0,0,1,1,1,0,0,4,12.0052988867098,350.336412159907,1,1
18.4958904109589,0,1,0,1,0,0,0,0,1,1,0,12,1,0,0,0,0,1,0,1,2,0,0,0,4,-5.16637005947523,128.027671535132,0,0
16.0356164383562,0,1,0,1,0,0,0,1,0,1,1,8,0,0,0,0,1,0,0,1,1,0,0,0,3,10.7777586174468,150.804753488003,1,0
18.986301369863,0,0,1,0,1,0,1,0,0,1,1,10,0,0,0,0,1,1,0,0,1,1,1,1,2,7.74404892199775,75.0087300575691,0,0
16.3534246575342,0,0,1,1,0,0,0,1,0,1,0,8,0,0,0,0,1,1,0,1,1,0,0,0,3,26.7625847736862,172.218249961998,0,1
21.572602739726,0,0,0,1,0,0,1,0,0,1,1,10,0,0,0,0,0,0,0,1,1,0,0,0,2,25.3889805575351,0,0,0
19.6821917808219,0,0,0,1,0,1,0,0,0,1,0,9,0,1,0,0,1,1,0,1,2,1,1,1,1,-5.88823723876789,269.152924650656,0,0
16.4684931506849,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,1,0,0,1,12.1771135207102,419.3829500999,1,0
19.3972602739726,0,1,0,1,0,0,0,1,0,1,1,8,0,0,0,0,1,1,0,1,2,0,0,0,3,-4.23076520363583,241.4530643363,1,1
19.6520547945205,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,1,-1.11029446064989,204.396202495141,1,0
18.6493150684932,0,0,1,0,1,1,0,0,0,1,0,9,0,0,0,0,0,1,0,0,1,1,0,0,1,20.8980610173957,310.675230172039,1,1
16.5808219178082,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,1,1,0,0,1,1,1,0,1,3.65004061585534,0,0,0
17.6246575342466,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,1,1,0,0,1,0,0,0,1,32.5417267787114,33.529514179874,1,1
21.5452054794521,0,1,0,1,0,1,0,0,0,1,1,9,0,0,0,0,0,1,0,0,1,0,0,0,1,-1.2476972428716,185.323869634505,1,1
17.358904109589,0,0,1,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,1,1,3,0,0,0,4,5.34813381346964,247.584270294127,1,0
22.3260273972603,1,0,0,1,0,1,0,0,0,1,0,12,1,0,0,0,0,0,0,0,2,0,0,0,1,17.7102337561774,359.351781664947,1,1
22.5068493150685,0,0,1,1,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,1,4,1,0,0,4,1.19568505157744,0,1,1
16.9561643835616,0,1,0,1,0,0,1,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,2,17.0848582563126,160.683849237906,0,1
19.2,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,1,0,0,1,1,0,0,1,-10.8413052483979,183.423011296813,1,1
16.9835616438356,1,0,0,1,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,3,13.6454009034367,16.9058436534839,0,1
22.7369863013699,0,1,0,1,0,0,1,0,0,1,1,10,0,0,0,0,0,0,0,1,1,0,0,0,2,15.0045379210155,208.021207207066,1,0
18.3260273972603,0,1,0,1,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0,1,1,1,0,0,4,14.3706491141583,0,0,0
16.2027397260274,1,0,0,1,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,1,1,0,0,0,3,29.3063261542698,32.6825989148751,0,1
18.6054794520548,1,0,0,1,0,1,0,0,0,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,1,23.4192742747467,277.544975937455,1,0
18.6986301369863,0,1,0,1,0,1,0,0,0,1,1,12,1,0,0,0,1,0,0,1,2,0,0,0,1,11.228554501134,191.026142378576,1,0
20.1917808219178,0,1,0,1,0,0,0,1,0,1,0,11,0,0,0,0,1,0,0,1,1,0,0,0,3,5.57872367887615,311.111609087869,1,1
16.4547945205479,1,0,0,1,0,0,0,0,1,1,0,8,0,0,0,0,1,1,1,1,1,0,0,0,4,30.4835735660933,114.032743877446,1,1
17.9369863013699,0,0,1,1,0,1,0,0,0,1,0,10,0,0,0,0,1,1,0,1,1,1,0,0,1,6.57569815674136,236.279711813913,0,1
20.3150684931507,0,1,0,1,0,0,1,0,0,1,0,12,1,0,0,0,0,1,0,1,1,0,0,0,2,12.8935517056521,83.801529667235,1,1
19.2219178082192,0,1,0,1,0,1,0,0,0,1,0,12,1,0,0,0,1,1,0,1,1,1,0,0,1,-17.2779831735114,140.486004982794,0,1
18.1095890410959,0,0,0,1,0,0,0,1,0,1,0,10,0,0,0,0,1,1,1,1,1,0,0,0,3,20.2079689078073,42.9011175220747,1,1
